State,Industry_Type,Year,Industrial_Output_Crore,Employment_Lakh,Investment_Crore,Factories_Count,Pollution_Index,Electricity_Consumption_GWh,Export_Crore
West Bengal,Electronics,2016,43535,76.74,15141,,83.44,260,8147
Madhya Pradesh,IT,2023,36557,69.71,24539,,33.13,697,14202
Maharashtra ,Chemical,2021,49683,85.13,24500,5133,73.66,13855,3257
Assam,Food Processing,2018,42990,79.32,25270,1223,10.06,7595,8998
Madhya Pradesh,Chemical,2023,4470,33.14,7673,1327,51.45,17600,10126
Assam,Electronics,2016,41227,87,7743,7745,60.95,18704,6981
Gujarat,Textile,2016,43597,37.63,20645,8900,92.9,12487,16743
Goa,Pharmaceutical,2025,2395,84.64,7546,5366,13.22,4706,2730
Chhattisgarh,Textile,2020,3585,3.05,1663,9021,69.92,19656,2000
Gujarat,Electronics,2022,28468,68.27,14856,4281,67.76,13230,7955
West Bengal,Electronics,2018,2905,73.56,4751,4596,44.54,15726,20294
Andhra Pradesh,Textile,2018,4690,1.26,452,8441,38.7,16725,8302
Jharkhand,Chemical,2019,21070,,29905,4264,51.36,19631,13888
West Bengal,IT,2017,42176,55.14,12145,8247,73.83,4650,15996
Uttarakhand,IT,2020,5798,28.51,2866,1270,49.65,5246,3853
West Bengal,Textile,2022,28500,95.78,4355,5726,58.91,6731,21089
Maharashtra,Mining,2018,22035,16.45,5851,6157,63.23,2160,2089
Jharkhand,Food Processing,2018,26302,51.4,20738,6802,67.38,5073,11824
Goa,Energy,2021,21681,27.14,29463,3142,33.82,3628,21931
Uttar Pradesh,Steel,2017,14580,69.46,2168,4020,82.6,18220,22018
Maharashtra,Textile,2018,7273,83.51,27338,4957,79.34,19983,21493
Telangana,Food Processing,2024,32606,63.85,4339,4452,68.69,13417,15611
Rajasthan,Textile,2019,4148,60.04,20249,5667,62.39,7464,444
Maharashtra,IT,,45816,87.1,3701,3512,88.71,7526,18348
Maharashtra,IT,2017,43873,84,29663,4069,20.06,12544,20722
Chhattisgarh,Food Processing,2019,,86.61,nan,9723,57.22,3899,7620
Kerala,Mining,2024,13871,95.96,9756,7115,22.39,17986,6077
Kerala ,Textile,2022,30767,54.87,20383,,68.06,402,7233
nan,Chemical,2015,4073,44.09,7865,3807,39.95,14296,16333
Assam,Mining,2017,1438,9.19,24197,2244,56.03,,12246
Assam,IT,2022,12722,75.23,6793,6662,17.52,12527,6170
Uttar Pradesh,Automobile,2025,28953,56.47,22554,4457,43.73,2772,15677
Madhya Pradesh,Steel,2025,28039,52.09,19550,9668,32.44,17893,22054
Andhra Pradesh,IT,2023,23537,20.11,14977,2981,20.45,17469,16558
Chhattisgarh,Mining,2017,49604,21.69,28043,7154,61.99,12042,14206
Odisha,Chemical,2018,9680,54.18,20161,4406,71.45,7672,11135
West Bengal,Energy,2023,39424,99.93,25136,9490,58.84,11930,20351
Haryana ,Automobile,2016,9153,57.27,8046,828,93.7,3102,7064
Haryana,Pharmaceutical,2020,1713,37.97,20494,9158,53.03,11867,22820
Bihar,IT,2024,23900,,22818,4880,16.18,14330,23919
Gujarat,Food Processing,,2396,59.61,13460,,10.14,9317,13895
Goa,Textile,2020,45489,92.61,778,5024,89.9,8017,19236
Punjab,,2023,28533,66.25,18078,8453,76.32,5777,12305
Madhya Pradesh,Electronics,2023,23465,67.16,19715,7063,72.99,9603,7478
Tamil Nadu,IT,2018,36537,60.76,10189,720,75.77,1820,5442
Telangana,Food Processing,2016,39406,74.15,11401,4713,77.64,12669,675
Andhra Pradesh,Chemical,2018,42338,48.06,4383,9901,27.25,6966,6669
Assam,Pharmaceutical,2017,14256,24.93,8736,2247,65.25,19896,15205
Madhya Pradesh,Textile,2020,38113,81.77,3135,9233,89.76,11607,12101
Tamil Nadu,Automobile,2019,34197,86.89,17613,3023,,1024,12180
Gujarat,Electronics,2024,27988,55.66,18602,1511,69.68,8297,24108
Uttarakhand,Pharmaceutical,2019,21074,64.02,7843,8527,35.32,6462,18653
Andhra Pradesh,Chemical,2015,3878,32.7,7325,4832,45.99,3258,3698
West Bengal,Automobile,2020,48220,9.17,14145,5339,26.23,17999,9683
Karnataka,Energy,2023,21330,7.62,11884,3765,48.73,,9003
Odisha,Mining,2015,24299,47.85,19211,6453,83.23,4272,6473
Punjab ,Textile,2021,8705,23.86,18201,4999,80.63,9971,6622
Gujarat,Energy,2023,2180,41.11,20936,9531,62.47,5112,9592
Haryana,Automobile,2016,21044,86.08,13590,4104,91.57,554,5600
Gujarat,Mining,2017,1329,72.04,26732,5122,69.63,17771,19855
Uttarakhand,Electronics,2019,27283,23.95,18464,7934,42.93,9979,11651
Uttarakhand,Pharmaceutical,2019,28135,23.3,17431,6897,66.58,9679,19872
Haryana,Textile,2020,47723,99.42,27734,7678,29.78,6615,18113
Assam,Food Processing,2022,10133,27.6,18093,6886,58.85,9254,24875
Goa,Chemical,2018,43172,39.6,16010,4707,76.2,19127,4481
Telangana,Steel,2022,23274,8.37,2828,8371,45.85,16321,21571
nan,IT,2020,29671,61.6,29320,7509,91.48,6891,18150
Jharkhand,Mining,2022,46723,55.41,4129,5799,10.31,15358,1804
Haryana,Pharmaceutical,2015,35056,52.39,23880,2907,58.8,11719,21330
Andhra Pradesh,Steel,2021,33945,52.74,28021,7333,23.83,3661,4126
Odisha,Chemical,2015,48403,27.37,15992,2546,81.61,5107,11050
Tamil Nadu,Automobile,2015,9396,74.7,17311,8742,33.03,1714,2378
Chhattisgarh,Steel,2023,11781,30.6,27384,7836,59.93,18768,17140
Rajasthan,Pharmaceutical,2024,9204,86.54,4152,6129,26.26,16740,12335
Karnataka,Pharmaceutical,,24890,82.44,25184,9287,75.22,12561,11292
Uttar Pradesh,Mining,2024,28087,27.38,5057,516,84.31,18985,13476
Uttar Pradesh,Food Processing,2020,17235,5.01,21991,5675,67.45,11216,23267
Jharkhand,Food Processing,2023,47362,30.1,1344,2534,42.98,1822,16301
Karnataka,Electronics,2021,8757,42.51,6157,4537,39.05,2392,15326
Tamil Nadu,Textile,2018,,77.75,28424,8323,22.47,10868,7168
Punjab,Automobile,2021,47718,33.11,7865,6804,58.85,13276,11923
Haryana,Electronics,2023,32888,11.6,9845,1656,10.28,18989,10098
Uttar Pradesh,Food Processing,2017,2877,13.1,14820,4943,57.23,17012,10498
Assam,Energy,2015,39131,12.63,15490,1088,40.34,521,21593
Chhattisgarh,IT,,47870,3.55,10709,4894,64.92,9234,1963
Assam,Textile,2015,19472,53.75,29761,2619,83,962,7572
Gujarat,Steel,2023,24795,97.21,13695,1793,81.66,11962,11829
Bihar,Food Processing,2016,19762,43.88,9528,4994,17.23,4888,7741
Tamil Nadu,Textile,2021,48787,93.34,22627,6569,65.56,14973,9207
Odisha,IT,2017,26178,57.85,10187,4265,35.67,3959,14845
Odisha,Steel,2017,28269,53.93,5903,1107,74.75,14508,24538
Bihar,Chemical,2024,7128,94.26,21013,7430,54.94,4074,18217
nan,Energy,2016,37454,52.17,18942,5911,59.21,18528,20993
Karnataka,Automobile,2016,9606,3.79,nan,4122,19.31,,17086
Andhra Pradesh,Pharmaceutical,2022,41632,,25514,8188,35.53,10168,19585
Madhya Pradesh ,Mining,2015,42176,21.1,nan,4750,73.99,5304,12251
Uttar Pradesh,Automobile,2024,34292,36.51,5466,1321,57.42,4869,3902
Uttar Pradesh,IT,2016,49413,25.26,15587,7889,68.57,4580,11243
Gujarat,IT,2024,15993,20.48,3464,200,19.52,7005,14188
Madhya Pradesh,Pharmaceutical,2019,45408,32.72,6298,8729,59.23,19171,12864
Punjab,Food Processing,2024,19166,2.18,13269,4313,85.57,6188,2841
Goa,Mining,2025,15587,96.35,18471,7161,32.6,1478,14828
Assam,Chemical,2023,21944,8.96,105,8632,50.05,,10254
Madhya Pradesh,Textile,2024,49026,40.8,21719,99,60.68,14557,17426
Madhya Pradesh,Electronics,2019,24276,60.44,27380,9011,52.09,16943,18681
Maharashtra,Pharmaceutical,2016,43909,90.92,10843,8867,64.83,9911,15244
Jharkhand ,Energy,2015,7384,24.6,26815,9771,28.34,2015,18748
Gujarat,Steel,,25974,98.16,16240,7664,86.28,7412,17083
nan,Steel,2019,12966,13.59,15022,6878,27.15,14160,6889
Uttar Pradesh ,Energy,2021,27272,6.19,8692,9584,21.09,5547,13857
Rajasthan,Chemical,2025,3819,34.67,1513,9147,24.15,17653,13809
Karnataka,Automobile,2021,40204,21.15,26640,3037,81.14,8218,15324
Uttar Pradesh,Food Processing,2016,30104,69.44,26980,9803,62.34,18640,17298
Rajasthan,Mining,2025,29334,32.43,16619,7041,77.09,16075,20267
Odisha,Chemical,2022,29342,19.81,3611,9454,86.03,3632,8791
Haryana,Pharmaceutical,2022,10963,39.31,29214,1002,35.04,11033,1079
Andhra Pradesh,IT,2023,20762,28.53,23906,4668,34.34,17111,18777
Goa,Chemical,2018,32242,89.83,3947,7141,89.82,617,789
Gujarat,IT,2021,10116,89.88,963,,56.31,440,22936
Kerala,Energy,2018,2252,57.45,17127,574,24.66,8556,13392
Bihar,Steel,2022,3415,68.27,14946,,16.61,17514,23628
Chhattisgarh,Electronics,2023,10295,42.29,6530,,81.59,2939,2750
West Bengal,Energy,2022,23465,78.76,17991,7606,62.99,11867,20058
West Bengal,Steel,2015,27111,15.24,18498,813,43.71,12357,13555
Assam,Textile,2020,6693,16.01,13131,2890,53.01,3379,3763
Uttarakhand,Textile,2015,22137,10.41,24523,707,15.19,7747,17494
Assam,Pharmaceutical,2016,28333,39.61,8109,65,25.72,18174,7967
Uttarakhand,Textile,2020,49404,96.93,21811,5794,38.27,15300,18967
Telangana,Steel,2017,21285,7.13,26126,1263,55.93,9130,12851
Karnataka,IT,2023,3581,99.66,nan,4919,48.76,14327,10922
Odisha,Chemical,2016,14388,72.23,14130,8067,,16843,293
Uttar Pradesh,Energy,2025,20099,45.76,22791,2750,10.74,478,10238
Bihar ,IT,2022,29036,32.53,nan,1178,62.63,4427,9396
Tamil Nadu,Electronics,2021,26239,79.29,15698,4066,74.85,17081,10768
Goa ,Automobile,2024,29352,2.32,9491,2131,71.28,704,17426
Punjab,Food Processing,2019,1098,,13752,8482,48.63,2547,20018
Madhya Pradesh,IT,2015,41387,41.27,27237,9873,18.69,4175,16372
Odisha,Pharmaceutical,2022,5643,77.01,25219,6028,61.62,9890,431
Goa,Textile,2015,7729,29.56,26165,3799,68.3,18035,19794
Andhra Pradesh,Pharmaceutical,2016,7559,21.12,820,4403,78.91,4371,16082
Odisha ,Pharmaceutical,2020,2506,16.53,14104,8513,81.16,11864,10927
Rajasthan,Food Processing,2018,14889,16.94,26638,7729,54.51,12507,15653
Tamil Nadu,Textile,2025,25256,53.16,19500,6141,43.59,19609,11752
Haryana,Steel,2024,18265,49.17,13532,2990,91.77,2017,795
Uttarakhand,Energy,2021,18397,84.33,24461,5760,60.36,18856,7596
Goa,IT,2018,7965,11.98,14911,6291,68.25,9484,4963
nan,Electronics,2022,31056,4.26,2929,4334,54.94,956,24280
Karnataka,Chemical,2019,49517,65.68,29328,9633,76.37,16600,9639
Uttar Pradesh,Chemical,2018,45835,95.94,15546,827,80.02,435,19733
Chhattisgarh,Steel,2023,23617,28.43,9877,3965,27.94,17234,693
Maharashtra,Pharmaceutical,2015,34863,18.07,13435,6032,35.12,4264,23142
Jharkhand,Mining,2025,22023,78.82,12234,8843,78.97,12654,20018
Madhya Pradesh,Steel,2024,3844,79.78,23953,5673,31.09,18667,9216
Jharkhand,Energy,2015,42889,66.53,4490,2916,26.97,18300,2024
Odisha,Electronics,2024,6759,79.56,15405,3401,35.11,,14825
Bihar,IT,2023,33177,43.39,28917,1130,53.77,4222,6339
West Bengal,Mining,2024,48437,89.56,4515,8612,51,9842,16761
Uttar Pradesh,Food Processing,2018,44455,15.3,26628,8651,21.28,941,19817
Karnataka,Automobile,2018,40515,39.39,1498,952,43.52,3635,21349
Madhya Pradesh,Mining,2015,12066,92.6,1759,8558,72.15,6494,21206
Chhattisgarh,Textile,2017,8588,15.27,nan,2036,78.28,19388,23170
Bihar,Chemical,2019,46256,78.32,15169,1619,44.53,10145,16973
Gujarat,Electronics,2024,49621,60.77,18630,7034,59.44,,693
Maharashtra,IT,2021,,89.23,20850,5523,57.81,11647,10663
Maharashtra,Food Processing,2019,39640,13.46,16282,7444,20.49,18510,22278
Rajasthan ,Pharmaceutical,2017,5109,66.39,5778,1706,27.11,9489,14143
Rajasthan,Energy,2022,1501,36.61,10861,3888,10.9,9966,2683
Odisha,Energy,2024,14779,95.23,24477,2791,94.7,14234,15358
Telangana,IT,2022,2449,53.74,16190,5290,75.3,2597,8559
Chhattisgarh,Pharmaceutical,2017,1254,20.08,nan,2775,28.45,9054,14118
Telangana,Chemical,2025,40899,53.2,8129,5328,89.31,18659,8903
Punjab,Pharmaceutical,2020,29272,98.11,nan,1747,46.32,12336,5693
Jharkhand,Electronics,2016,17080,85.59,8359,1434,51.45,15060,9308
Odisha,Steel,2019,,85.59,15244,6061,18.89,18138,11463
nan,Mining,2018,46565,15.79,14159,3406,14.42,11738,13519
Odisha,,2017,15845,78.26,nan,8448,91.77,,20214
West Bengal,Steel,2017,21991,97.98,18594,8535,20.87,18603,19441
Chhattisgarh,Steel,2025,32558,45.81,18866,7758,52.98,10605,643
Jharkhand,Steel,2023,48971,93.67,22621,7002,58.42,,23814
Chhattisgarh,IT,2019,25772,52.1,29082,9017,36.18,15142,7215
Bihar,Mining,2015,9999,50.65,16756,1076,54.56,2921,2111
Tamil Nadu,Textile,2017,33224,93.47,10433,9673,55.71,7654,14250
Rajasthan,Automobile,2020,43562,13.86,1955,,17.88,2171,18275
Telangana,Chemical,2017,32613,93.79,17538,3643,88.95,3467,14326
Maharashtra,Automobile,2023,34565,77.21,8110,724,90.64,12132,24113
Bihar,Electronics,2020,28412,34.63,24636,334,67.74,12584,18725
Bihar,Steel,2018,8203,12.93,19652,4295,21.42,14735,20644
Madhya Pradesh,Chemical,2015,,25.63,6591,3758,73.45,15640,4796
Rajasthan,IT,2022,27662,95.5,20789,7541,87.87,8839,3536
Rajasthan,Energy,2018,41413,45.3,26612,7138,71.99,14455,6343
Tamil Nadu,Mining,2017,32578,84.02,9365,8062,60.2,4180,20743
Andhra Pradesh,Chemical,2015,20519,70.19,4037,3872,73.32,13371,14540
Jharkhand ,Steel,,19325,36.8,27974,7849,43.69,8721,7215
Jharkhand,Energy,2015,6494,28.86,28307,2396,19.71,2493,2573
Telangana ,Chemical,2019,14585,22.78,5590,113,83.09,2425,6493
Andhra Pradesh,Mining,2018,12616,13.78,21675,3243,64.46,18211,12440
Rajasthan,Electronics,2015,23713,75.99,8424,8522,56.79,8537,7593
Jharkhand,IT,2019,49915,73.24,641,7672,45.31,7911,17634
Madhya Pradesh,Energy,2017,6231,65.93,5225,8328,51.6,5813,21944
Haryana,Electronics,2020,8479,79.35,11732,4122,33.62,19724,399
Telangana,Automobile,2019,28719,67.78,27883,5438,62.88,6211,23385
Madhya Pradesh,Pharmaceutical,2019,9849,4.93,2695,2748,,6044,4872
Andhra Pradesh,Steel,2024,4180,61.63,15943,1371,80.16,12584,24606
Tamil Nadu,Food Processing,2020,34833,5.26,19413,1061,58.17,12525,11770
Rajasthan,Food Processing,2019,14733,22.97,29088,8896,45.66,14090,9937
Bihar ,Electronics,2020,24606,61.29,2624,6148,91,17914,11348
West Bengal,Textile,2020,44851,68.5,28576,1680,71.56,3484,14665
Chhattisgarh,Automobile,2023,31811,3.66,15885,7382,28.69,17739,6727
Odisha,Chemical,2022,44763,90.02,16071,,33.58,8267,16003
Jharkhand ,Chemical,2017,6485,11.16,13998,92,59.31,12337,11586
Gujarat,Textile,2025,13872,43.09,15507,8161,47.75,12424,7438
Jharkhand,Energy,2016,47384,,20112,2665,26.36,8882,5774
Chhattisgarh ,Pharmaceutical,2022,13277,41.13,15712,251,78.1,4354,18802
Tamil Nadu,IT,2021,34547,86.43,20483,4366,13.93,3126,58
Uttarakhand,IT,2022,2936,29.72,6129,2471,89.5,3868,22260
West Bengal,Food Processing,2018,23874,34.19,9112,2189,24.24,10713,17542
Andhra Pradesh,Steel,2021,28172,1.32,29464,187,45.43,18849,14826
Andhra Pradesh,Chemical,2024,37314,7.93,23182,1223,68.53,7670,5925
Uttarakhand,,2016,540,,6548,4854,15.86,9113,4694
Odisha,Energy,2015,43571,40.19,10696,634,82.06,10917,6813
Chhattisgarh,Energy,2025,40405,68.52,853,1926,17.57,156,20975
Karnataka ,Electronics,2020,46903,78.82,9122,8033,16.55,13631,3749
Odisha,Energy,2022,14256,36.39,1671,4703,35.4,7703,9741
West Bengal,Steel,2016,12528,59,26832,1034,34.14,14015,16218
Haryana,Energy,2017,25835,61.56,22181,5614,66.97,11742,3351
Andhra Pradesh,Mining,2022,37406,77.11,27553,3855,34.97,12371,16701
Uttarakhand,Energy,2025,42258,71.71,4807,2787,29.7,12674,10278
Odisha,Energy,2024,,79.26,11938,743,55.03,14392,16260
Haryana,,2015,36288,17.21,15108,5857,77.43,17181,23005
Haryana,Mining,2015,46741,27.26,26238,767,30.7,18166,20990
Punjab,,2016,30539,22.35,13863,1727,21.26,,10444
Karnataka,Chemical,2021,10286,20.88,2440,,93.29,14416,491
Karnataka,Energy,2018,16386,22.68,13259,4190,78.07,16890,9384
Chhattisgarh,Electronics,2015,32950,65.62,12012,507,69.42,16216,6878
Uttar Pradesh,Steel,2024,11337,98.35,12817,2043,10.15,3903,24343
Goa,Automobile,2019,45876,41.94,9561,7182,63.97,8614,1340
Uttar Pradesh,Energy,2022,22927,92.59,14128,9673,31.68,7957,16405
West Bengal,Mining,2020,24963,39.99,21963,4620,58.66,265,3254
Madhya Pradesh,Mining,2025,10101,5.26,27543,3735,79.53,17968,22155
Rajasthan,Energy,2015,23314,88.59,21564,2941,56.18,9965,3034
Chhattisgarh,Electronics,2016,10395,33.05,8280,782,68.98,2947,8064
Karnataka,Automobile,2015,10611,32.68,Unknown,4583,58.36,3580,8994
Uttar Pradesh,Chemical,2024,23978,7.31,19956,7159,86.58,11613,20583
Karnataka,Chemical,2023,37501,86.93,Unknown,9139,83.74,9752,20487
Karnataka,Chemical,2022,36400,28.93,29921,6128,82.9,18230,9429
West Bengal,Steel,2015,24672,51.96,22066,8397,57.09,17928,7297
Jharkhand,Pharmaceutical,2023,35338,53.41,29697,2446,71.18,3576,3720
Chhattisgarh,Energy,2023,43676,54.58,4263,5840,21.73,10274,12200
Chhattisgarh,Pharmaceutical,2023,38942,80.44,2928,3231,89.8,10627,23400
Gujarat,IT,,10674,5.01,426,4648,26.09,14735,287
Odisha,Electronics,2019,9481,38.06,23007,2713,78.03,9653,4187
Telangana,Automobile,2018,15815,31.75,5966,3058,83.31,18720,10404
Jharkhand,IT,2018,21369,64.58,9507,5616,56.58,19532,16826
Goa,Pharmaceutical,2016,46779,97,9421,923,32.61,1457,17111
Karnataka,Automobile,2019,14310,37.26,25041,9629,23.46,13687,7783
Chhattisgarh,Steel,2024,29723,,8830,4714,42.36,6085,16909
Bihar,Steel,2016,2627,20.38,17300,2086,53.06,4407,19036
West Bengal,IT,2016,21226,85.27,18574,6591,53.34,10640,9146
Karnataka,Food Processing,2022,1595,57.21,5526,997,37.63,9734,15351
Jharkhand,IT,2020,35593,6.34,1182,8214,51.94,8596,2263
Jharkhand,Automobile,2022,25805,27.53,3218,3192,29.55,18273,24150
Odisha,Chemical,2024,38018,80.34,17129,1762,91.39,12027,19238
Rajasthan,Steel,2017,38923,54.72,14942,6437,16.33,13545,12571
Punjab,IT,2025,33232,99.75,27765,8957,73.53,9072,6828
Uttar Pradesh,Chemical,2024,2051,33.05,8395,2305,65.72,14173,13225
Goa,Textile,2021,1664,78.08,17511,1773,26.57,16289,15118
Chhattisgarh ,Steel,2024,45837,76.61,15382,6312,71.29,5435,22090
nan,Textile,2017,35820,82.41,21925,4927,22.44,1116,2595
Rajasthan,Steel,2021,48137,91.85,nan,1058,68.07,11914,507
Goa,Automobile,2025,10286,61.18,10974,8052,66.85,11327,2887
Madhya Pradesh,Automobile,,2349,11.1,14053,7661,48.84,4747,13227
Uttarakhand,Electronics,2019,18500,38.16,17197,3232,12.38,18498,10218
Uttarakhand,Automobile,2016,38407,19.67,24668,6621,47.85,14529,700
Andhra Pradesh,IT,2025,20073,43.41,15870,8111,87.8,11206,22833
Tamil Nadu ,Chemical,2023,19919,37.39,14525,2954,30.59,7553,4196
Chhattisgarh,Mining,2017,17460,61.94,22822,3151,88.59,12330,17606
Chhattisgarh,,2015,,31.82,25862,9988,64.87,18989,1726
Andhra Pradesh,Textile,2017,18691,13.51,14442,7468,77.53,16957,19833
Madhya Pradesh,Food Processing,2025,43162,23.38,27637,3006,91.21,3029,24583
Telangana,IT,2016,9853,2.22,5866,1930,79.22,17483,218
Goa,IT,2017,37670,7.4,21133,3373,26.74,5670,783
Chhattisgarh,IT,2023,37634,68.07,16040,9783,18.72,3912,5640
Gujarat,Steel,2016,28162,86.41,5615,5858,80.03,2796,18061
Tamil Nadu,,2022,19527,15.17,3097,6846,88.96,18148,7143
Rajasthan ,Steel,2021,32883,47.73,28689,6605,71.46,1155,14426
Gujarat,Electronics,2017,3349,65.28,7814,7183,35.33,19177,7482
Madhya Pradesh,Automobile,2021,39377,89.4,21125,1322,46.68,17987,20382
Rajasthan,Steel,2025,46034,58,19546,6659,48.47,125,11367
Karnataka ,IT,2016,17196,96.65,4745,1553,44.07,13611,23440
Uttar Pradesh,Electronics,2020,41966,47.55,4380,1538,10.14,4532,9078
Chhattisgarh,IT,2018,5449,58.37,28687,2005,40.96,4629,24900
Rajasthan,Automobile,2024,47067,31.04,29011,6450,52.96,16893,10876
Tamil Nadu,IT,2018,8349,79.62,25328,6325,72.41,10023,20664
Haryana,Electronics,2020,10837,2.18,26055,5120,89,12732,10120
Chhattisgarh,Pharmaceutical,2017,27805,98.31,7530,4902,17.45,5981,5784
Telangana,IT,2024,4227,19.2,16030,4525,58.76,14993,7524
Karnataka,Textile,2025,32575,4.8,26596,719,87.47,8050,2624
Haryana,Textile,2020,15178,36.12,18267,81,24.01,5529,13046
Chhattisgarh,Chemical,2024,45951,46.34,26581,8193,47.32,1417,24126
Assam,Pharmaceutical,2020,1600,3.91,22198,8835,45.94,3330,20139
Assam,,2016,48965,96.94,3194,5414,42.03,12424,14195
Andhra Pradesh,Electronics,2015,16247,51.48,27317,3758,35.99,19645,11376
Telangana,Mining,2015,39347,63.16,12638,4631,33.52,19959,6173
West Bengal,Textile,2017,5885,16.67,23755,3631,88.16,5304,
Madhya Pradesh,Chemical,2016,48023,20.52,11188,1063,49.79,15961,21730
Uttarakhand,Steel,2025,12312,15.97,23831,3492,17.94,19000,2592
Maharashtra,Textile,2017,9439,58.7,20033,5374,92.58,3784,5217
Madhya Pradesh,Textile,2019,,92.41,4733,6867,73.13,17525,8340
nan,Food Processing,2023,46363,32.93,18434,6332,65.32,16362,2799
West Bengal,IT,2015,30691,96.81,3981,8270,82.37,12265,12573
Tamil Nadu,Energy,,13687,67.01,9602,3199,29.7,5891,171
Tamil Nadu,Electronics,2020,47620,87.27,7632,9261,44.93,13015,16723
Odisha,Pharmaceutical,2024,46100,91.87,11238,7174,44.96,4531,2975
Gujarat,Chemical,2018,44327,70.67,9916,5464,47.16,15274,8932
nan,Electronics,2016,7901,51.59,717,1721,55.08,14010,8134
Karnataka,Electronics,2023,7032,41.17,19220,8652,90.82,,13968
Maharashtra,Steel,2015,39537,47.46,17386,7610,24.91,9040,23205
Madhya Pradesh,IT,2021,5702,87.44,966,2789,59.38,18190,14606
Uttarakhand,Chemical,2016,1696,42.57,8491,3377,68.02,11863,15188
Rajasthan,Chemical,2024,28907,9.01,9385,7416,36.71,6004,24488
Andhra Pradesh,Automobile,2016,20306,61.64,21695,2975,53.85,668,15155
Maharashtra,Energy,2021,13704,3.1,24392,9664,47.46,15390,11113
Karnataka,Energy,2023,35418,27.68,nan,5721,62.85,8278,16042
Bihar,Food Processing,2025,13159,7.09,3134,3806,93.65,9753,7071
Goa,Energy,2017,4956,57.8,15097,3069,39.63,7330,5439
Telangana,Textile,2022,4930,50.26,14362,9338,85.48,6653,14983
Telangana,Chemical,2023,47793,67.34,7305,578,30.54,7017,22383
Assam,Automobile,2017,12676,32.76,7087,1845,64.31,9645,4910
Kerala,Food Processing,2019,28799,92.14,25774,4554,50.5,7362,18777
Andhra Pradesh,Automobile,2020,37279,38.16,13326,6330,18.99,18473,333
Maharashtra,Mining,2024,16389,68.33,27934,2872,72.31,9169,8090
Karnataka,Food Processing,2015,36537,94.42,26376,4823,36.87,18341,9573
Uttar Pradesh,Chemical,2024,12193,1.57,28762,9734,40.04,8590,6249
Gujarat,Mining,2023,40829,74.5,9408,2442,65.13,15427,10528
Punjab,Pharmaceutical,2018,31241,40.27,284,5164,12.99,3081,3633
Uttar Pradesh,IT,2025,24325,93.92,4335,194,36.92,3859,23600
West Bengal,Electronics,2024,34700,18.52,23976,3746,35.27,11808,702
Telangana ,IT,2015,9014,16.03,12757,601,52.47,17670,11935
Chhattisgarh,Pharmaceutical,2023,12820,47.63,28348,3866,15.26,18770,10658
Gujarat,Mining,2018,34196,79.29,7417,5761,62.14,19933,6608
Madhya Pradesh,IT,2021,36989,44.5,7825,9458,58.04,14898,4967
Karnataka,Steel,2022,32478,48.42,26361,4288,86.55,8201,7075
nan,Energy,2021,34514,49.51,14296,6629,54.79,9413,16180
Tamil Nadu,Steel,2017,14165,79.25,18285,4785,57.57,1786,15971
Uttar Pradesh,Energy,2022,42479,41.69,25498,4047,13.5,13945,2930
Uttar Pradesh,Textile,2017,22463,71.42,21268,8016,11.01,1105,24908
Rajasthan,Automobile,2023,23243,37.5,9548,3680,89.17,6392,7692
West Bengal,Electronics,2018,24100,96.86,nan,5014,13.14,11313,3257
Uttarakhand,Steel,2025,,75.87,233,5758,60.53,1052,13024
Odisha,Food Processing,2018,8775,10.09,1221,3510,21.01,435,1865
Haryana,Energy,2016,2396,17.92,20236,5807,40.87,16260,3232
Bihar,Chemical,2023,,35.02,7395,8701,54.38,1764,11696
Rajasthan,Pharmaceutical,2022,22211,40.6,29600,6134,78.16,8970,3765
Uttar Pradesh,Food Processing,2025,6760,51.34,9726,2609,57.73,4936,22694
Chhattisgarh,Textile,2019,8123,45.85,4770,3554,58.24,16780,20738
Punjab,,2015,26039,9.95,19660,4355,28.19,15123,274
Uttar Pradesh,Textile,2016,15389,42.88,20050,1527,91.12,17960,14032
Andhra Pradesh,Food Processing,2020,33065,89.16,16453,5389,11.29,,9751
Haryana,Chemical,2022,10027,20.6,153,3069,15.74,8975,12811
Telangana,Electronics,2020,10120,74.84,4006,5921,42.96,19344,2624
Rajasthan,Steel,2017,34483,62.91,11793,1899,53.83,607,7923
Uttarakhand,Food Processing,2025,14867,40.59,9764,7700,41.5,,2465
Goa,IT,2017,39339,83.48,7891,4422,51.38,16188,9996
Uttar Pradesh,Textile,2017,3377,82.49,18613,3337,32.09,3253,8719
West Bengal,Electronics,2017,25237,83.3,Unknown,5892,67.25,10512,9922
Haryana,IT,2016,8456,27.11,14133,6336,35,16779,3451
Uttar Pradesh,Automobile,2015,15168,68.64,22499,9465,42.84,3924,10854
Maharashtra,IT,2025,31589,32.71,nan,7446,93.81,329,24860
Bihar,Steel,2022,,79.41,13157,8773,56.18,13824,19274
Odisha,Mining,2021,14426,57.07,28536,1144,88.44,5942,24409
Tamil Nadu,Energy,2015,47064,8.43,23001,8752,17.64,986,
Chhattisgarh,Steel,2023,31030,97.7,23177,,16.96,11552,16811
Gujarat,Chemical,2016,33450,4.53,788,3079,60.62,970,20518
Madhya Pradesh,Chemical,2017,8446,86.11,24369,7211,91.88,7452,5403
Karnataka,Food Processing,2025,16170,94.36,18915,5287,13.88,4648,13007
Haryana,Energy,2024,28559,81.32,14062,3310,88.37,837,24620
